,precision,recall,f1-score,support
Negatif,0.7524752475247525,0.7238095238095238,0.7378640776699029,105.0
Positif,0.768,0.7933884297520661,0.7804878048780488,121.0
accuracy,0.7610619469026548,0.7610619469026548,0.7610619469026548,0.7610619469026548
macro avg,0.7602376237623762,0.758598976780795,0.7591759412739758,226.0
weighted avg,0.760787172522562,0.7610619469026548,0.7606847457769191,226.0
