Topik,Jumlah Berita
Infrastruktur,314
Administrasi Kependudukan,184
Perizinan,170
UMKM & Ekonomi,166
Pendidikan,153
Transportasi,150
Kesehatan,148
Pertanian & Perikanan,75
Pariwisata,59
Lingkungan,28
Keamanan,28
Perpajakan & Retribusi,25
Ketenagakerjaan,23
Sosial,22
Pelayanan Publik Umum,18
